7,26,12
29,2,60
71,44,77
57,22,50
55,69,45
52,38,31
94,44,86
88,95,13
93,24,36
80,33,67
42,10,96
29,25,82
13,15,83
78,69,88
15,49,80
25,82,79
35,88,93
12,33,84
22,86,16
73,95,93
6,21,15
99,63,2
88,32,83
81,82,32
67,34,28
61,77,82
13,97,18
46,79,1
54,7,97
36,84,39
4,49,86
34,67,32
46,60,70
71,46,69
88,18,71
59,82,4
42,78,76
2,30,23
20,87,41
88,48,9
2,56,83
60,95,99
16,44,18
89,79,97
9,53,8
27,34,59
2,52,70
41,62,29
3,79,64
70,66,41
90,37,22
16,42,80
23,97,8
80,96,14
85,68,84
58,82,2
20,16,89
60,82,7
6,89,54
31,59,77
10,34,51
37,73,80
21,59,35
3,92,48
24,26,4
96,100,87
91,85,100
59,46,70
5,44,76
9,33,38
32,73,96
0,11,46
96,83,41
67,20,83
43,41,39
63,11,1
8,73,12
43,16,29
56,85,54
33,75,47
5,3,15
12,65,11
83,11,17
25,89,20
10,72,31
16,26,10
68,53,65
100,72,17
74,68,32
45,7,19
38,7,29
96,99,15
35,31,55
50,98,24
24,42,43
19,68,16
71,22,12
98,70,8
80,20,6
86,6,30
83,64,71
2,11,3
34,71,37
100,68,42
16,42,19
23,39,21
82,53,0
42,15,84
15,79,93
47,63,91
34,19,18
21,70,96
76,96,99
86,87,51
37,42,32
34,68,7
72,95,73
39,82,53
87,38,3
41,70,78
64,42,59
28,100,40
66,2,26
64,76,30
27,7,70
21,49,69
27,11,53
43,27,9
34,48,91
7,13,49
36,27,95
79,15,68
85,86,63
41,79,22
66,67,84
20,7,87
9,76,48
5,21,17
44,29,17
50,51,68
94,90,84
84,56,3
11,91,77
44,40,27
99,95,33
42,66,10
27,54,64
49,12,98
29,60,51
27,73,43
5,5,88
22,23,22
29,33,22
6,22,54
35,35,76
88,18,38
37,20,22
89,21,24
29,83,94
34,71,65
5,0,94
81,52,15
89,28,40
26,15,64
17,24,15
85,45,96
48,44,61
96,94,89
77,51,30
55,57,27
83,95,100
42,76,62
39,45,75
